PROJECT INFO
File Path,N15302-KCA-ZZ-ZZ-M3-A-00010_APARTMENTS_detached.rvt
File Name,N15302-KCA-ZZ-ZZ-M3-A-00010_APARTMENTS_detached
Central File Path,"Error extracting central file path: File does not exist.
Parameter name: file"
Export by,m.cubero@karakusevic-carson.com
Export Date,2025-01-14
Export Time,18:53:01
DATA
12929629,"MEP Placeholder-Type Name-Beggins With-""ROOF""",True,False,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
12929630,"MEP Placeholder-Type Name-Equals-""FLUE""",True,False,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
12929631,"MEP Placeholder-Type Name-Equals-""GULLY""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
12929632,"MEP Placeholder-Type Name-Equals-""RWO"" or ""RWP ROOF""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
12929633,"MEP Placeholder-Type Name-Equals-""RWP""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
12929634,"MEP Placeholder-Type Name-Equals-""STUB STACK""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
12929635,"MEP Placeholder-Type Name-Equals-""SVP""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
12929639,"MEP Placeholder-Type Name-Equals-""STUB STACK Under Counter""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
12982318,"Walls-Type Name-Does Not Begin With-""Ss_25_""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
12995800,"TEMP-PF-Familiy Name-Contains-""PF_Cooker""",True,False,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
13067092,"Walls-Type Name-Contains-""Placeholder 200mm Concrete""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
13259194,"GM-Family Name-Contains-""AirBrick""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
13265341,"GM-Family Name-Contains-""FireStopPW""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
13308233,"MEP Placeholder-Type Name-Equals-""RWP_Balcony""",True,True,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
14118054,"Property Lines-Name-Equals-""Phase 1A - Demo""",True,False,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
14689179,"GM-Family Name-Contains-""AnnotText"" and Type name-does not contain-""RCP""",True,False,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
14972388,Views-Elevations-Not-31000-41000-40000,True,False,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
15174805,Sections-41000-40000,True,False,AreaPlan,J2-12009-1_Level 9,False,12000-GA Plans 1-50,"J2-12009 - Building J2, Roof Plan - 1"
953158,Views-Hide Unreferenced,True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
3868818,Views-Hide Sketch Views,True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
11573561,"Property Lines-Name-Equals-""Phase 1B & 2""",True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
11987020,GM-DryRiser,True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12880357,"DI-Family Name-Contains-""BreakLine""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12929628,"MEP Placeholder-Type Name-Beggins With-""IN""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12929629,"MEP Placeholder-Type Name-Beggins With-""ROOF""",True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12929630,"MEP Placeholder-Type Name-Equals-""FLUE""",True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12929631,"MEP Placeholder-Type Name-Equals-""GULLY""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12929632,"MEP Placeholder-Type Name-Equals-""RWO"" or ""RWP ROOF""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12929633,"MEP Placeholder-Type Name-Equals-""RWP""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12929634,"MEP Placeholder-Type Name-Equals-""STUB STACK""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12929635,"MEP Placeholder-Type Name-Equals-""SVP""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12929639,"MEP Placeholder-Type Name-Equals-""STUB STACK Under Counter""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12982318,"Walls-Type Name-Does Not Begin With-""Ss_25_""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
12995800,"TEMP-PF-Familiy Name-Contains-""PF_Cooker""",True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
13067092,"Walls-Type Name-Contains-""Placeholder 200mm Concrete""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
13259194,"GM-Family Name-Contains-""AirBrick""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
13265341,"GM-Family Name-Contains-""FireStopPW""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
13308233,"MEP Placeholder-Type Name-Equals-""RWP_Balcony""",True,True,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
14118054,"Property Lines-Name-Equals-""Phase 1A - Demo""",True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
14689179,"GM-Family Name-Contains-""AnnotText"" and Type name-does not contain-""RCP""",True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
14972388,Views-Elevations-Not-31000-41000-40000,True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
15174805,Sections-41000-40000,True,False,AreaPlan,J3-12000-1_Level 0,False,12000-GA Plans 1-50,"J3-12000 - Building J3, Ground Floor Plan - 1"
953158,Views-Hide Unreferenced,True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
3868818,Views-Hide Sketch Views,True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
11573561,"Property Lines-Name-Equals-""Phase 1B & 2""",True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
11987020,GM-DryRiser,True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12880357,"DI-Family Name-Contains-""BreakLine""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12929628,"MEP Placeholder-Type Name-Beggins With-""IN""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12929629,"MEP Placeholder-Type Name-Beggins With-""ROOF""",True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12929630,"MEP Placeholder-Type Name-Equals-""FLUE""",True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12929631,"MEP Placeholder-Type Name-Equals-""GULLY""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12929632,"MEP Placeholder-Type Name-Equals-""RWO"" or ""RWP ROOF""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12929633,"MEP Placeholder-Type Name-Equals-""RWP""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12929634,"MEP Placeholder-Type Name-Equals-""STUB STACK""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12929635,"MEP Placeholder-Type Name-Equals-""SVP""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12929639,"MEP Placeholder-Type Name-Equals-""STUB STACK Under Counter""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12982318,"Walls-Type Name-Does Not Begin With-""Ss_25_""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
12995800,"TEMP-PF-Familiy Name-Contains-""PF_Cooker""",True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
13067092,"Walls-Type Name-Contains-""Placeholder 200mm Concrete""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
13259194,"GM-Family Name-Contains-""AirBrick""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
13265341,"GM-Family Name-Contains-""FireStopPW""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
13308233,"MEP Placeholder-Type Name-Equals-""RWP_Balcony""",True,True,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
14118054,"Property Lines-Name-Equals-""Phase 1A - Demo""",True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
14689179,"GM-Family Name-Contains-""AnnotText"" and Type name-does not contain-""RCP""",True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
14972388,Views-Elevations-Not-31000-41000-40000,True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
15174805,Sections-41000-40000,True,False,AreaPlan,J3-12001-1_Level 1,False,12000-GA Plans 1-50,"J3-12001 - Building J3, First Floor Plan - 1"
953158,Views-Hide Unreferenced,True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
3868818,Views-Hide Sketch Views,True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
11573561,"Property Lines-Name-Equals-""Phase 1B & 2""",True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
11987020,GM-DryRiser,True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12880357,"DI-Family Name-Contains-""BreakLine""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12929628,"MEP Placeholder-Type Name-Beggins With-""IN""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12929629,"MEP Placeholder-Type Name-Beggins With-""ROOF""",True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12929630,"MEP Placeholder-Type Name-Equals-""FLUE""",True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12929631,"MEP Placeholder-Type Name-Equals-""GULLY""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12929632,"MEP Placeholder-Type Name-Equals-""RWO"" or ""RWP ROOF""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12929633,"MEP Placeholder-Type Name-Equals-""RWP""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12929634,"MEP Placeholder-Type Name-Equals-""STUB STACK""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12929635,"MEP Placeholder-Type Name-Equals-""SVP""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12929639,"MEP Placeholder-Type Name-Equals-""STUB STACK Under Counter""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12982318,"Walls-Type Name-Does Not Begin With-""Ss_25_""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
12995800,"TEMP-PF-Familiy Name-Contains-""PF_Cooker""",True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
13067092,"Walls-Type Name-Contains-""Placeholder 200mm Concrete""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
13259194,"GM-Family Name-Contains-""AirBrick""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
13265341,"GM-Family Name-Contains-""FireStopPW""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
13308233,"MEP Placeholder-Type Name-Equals-""RWP_Balcony""",True,True,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
14118054,"Property Lines-Name-Equals-""Phase 1A - Demo""",True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
14689179,"GM-Family Name-Contains-""AnnotText"" and Type name-does not contain-""RCP""",True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
14972388,Views-Elevations-Not-31000-41000-40000,True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
15174805,Sections-41000-40000,True,False,AreaPlan,J3-12002-1_Level 2,False,12000-GA Plans 1-50,"J3-12002 - Building J3, Second Floor Plan - 1"
953158,Views-Hide Unreferenced,True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
3868818,Views-Hide Sketch Views,True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
11573561,"Property Lines-Name-Equals-""Phase 1B & 2""",True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
11987020,GM-DryRiser,True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12880357,"DI-Family Name-Contains-""BreakLine""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12929628,"MEP Placeholder-Type Name-Beggins With-""IN""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12929629,"MEP Placeholder-Type Name-Beggins With-""ROOF""",True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12929630,"MEP Placeholder-Type Name-Equals-""FLUE""",True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12929631,"MEP Placeholder-Type Name-Equals-""GULLY""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12929632,"MEP Placeholder-Type Name-Equals-""RWO"" or ""RWP ROOF""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12929633,"MEP Placeholder-Type Name-Equals-""RWP""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12929634,"MEP Placeholder-Type Name-Equals-""STUB STACK""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12929635,"MEP Placeholder-Type Name-Equals-""SVP""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12929639,"MEP Placeholder-Type Name-Equals-""STUB STACK Under Counter""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12982318,"Walls-Type Name-Does Not Begin With-""Ss_25_""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
12995800,"TEMP-PF-Familiy Name-Contains-""PF_Cooker""",True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
13067092,"Walls-Type Name-Contains-""Placeholder 200mm Concrete""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
13259194,"GM-Family Name-Contains-""AirBrick""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
13265341,"GM-Family Name-Contains-""FireStopPW""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
13308233,"MEP Placeholder-Type Name-Equals-""RWP_Balcony""",True,True,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
14118054,"Property Lines-Name-Equals-""Phase 1A - Demo""",True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
14689179,"GM-Family Name-Contains-""AnnotText"" and Type name-does not contain-""RCP""",True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
14972388,Views-Elevations-Not-31000-41000-40000,True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
15174805,Sections-41000-40000,True,False,AreaPlan,J3-12003-1_Level 3,False,12000-GA Plans 1-50,"J3-12003 - Building J3, Third Floor Plan - 1"
953158,Views-Hide Unreferenced,True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
3868818,Views-Hide Sketch Views,True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
11573561,"Property Lines-Name-Equals-""Phase 1B & 2""",True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
11987020,GM-DryRiser,True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12880357,"DI-Family Name-Contains-""BreakLine""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12929628,"MEP Placeholder-Type Name-Beggins With-""IN""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12929629,"MEP Placeholder-Type Name-Beggins With-""ROOF""",True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12929630,"MEP Placeholder-Type Name-Equals-""FLUE""",True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12929631,"MEP Placeholder-Type Name-Equals-""GULLY""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12929632,"MEP Placeholder-Type Name-Equals-""RWO"" or ""RWP ROOF""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12929633,"MEP Placeholder-Type Name-Equals-""RWP""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12929634,"MEP Placeholder-Type Name-Equals-""STUB STACK""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12929635,"MEP Placeholder-Type Name-Equals-""SVP""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12929639,"MEP Placeholder-Type Name-Equals-""STUB STACK Under Counter""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12982318,"Walls-Type Name-Does Not Begin With-""Ss_25_""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
12995800,"TEMP-PF-Familiy Name-Contains-""PF_Cooker""",True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
13067092,"Walls-Type Name-Contains-""Placeholder 200mm Concrete""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
13259194,"GM-Family Name-Contains-""AirBrick""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
13265341,"GM-Family Name-Contains-""FireStopPW""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
13308233,"MEP Placeholder-Type Name-Equals-""RWP_Balcony""",True,True,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
14118054,"Property Lines-Name-Equals-""Phase 1A - Demo""",True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
14689179,"GM-Family Name-Contains-""AnnotText"" and Type name-does not contain-""RCP""",True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
14972388,Views-Elevations-Not-31000-41000-40000,True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
15174805,Sections-41000-40000,True,False,AreaPlan,J3-12004-1_Level 4,False,12000-GA Plans 1-50,"J3-12004 - Building J3, Fourth Floor Plan - 1"
953158,Views-Hide Unreferenced,True,False,AreaPlan,J3-12005-1_Level 5,False,12000-GA Plans 1-50,"J3-12005 - Building J3, Fifth Floor Plan - 1"
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,J3-12005-1_Level 5,False,12000-GA Plans 1-50,"J3-12005 - Building J3, Fifth Floor Plan - 1"
3868818,Views-Hide Sketch Views,True,False,AreaPlan,J3-12005-1_Level 5,False,12000-GA Plans 1-50,"J3-12005 - Building J3, Fifth Floor Plan - 1"
11573561,"Property Lines-Name-Equals-""Phase 1B & 2""",True,False,AreaPlan,J3-12005-1_Level 5,False,12000-GA Plans 1-50,"J3-12005 - Building J3, Fifth Floor Plan - 1"
